asset.name,asset.operating_systems,compliance.audit_description,compliance.audit_file,compliance.audit_name,compliance.audit_see_also,compliance.audit_solution,compliance.info,compliance.references,compliance_result,definition.id,definition.output,definition.synopsis,first_seen,id,last_fixed,last_observed,original_compliance_result
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"904, Audit mmap PROT_EXEC na home",,Adicionar regra/evidencia de EDR para mmap PROT_EXEC em /home.,Execucao dinamica na home deve ser detectavel.,,FAILED,21157,"The command 'sh -c 'grep -RE ""mmap.*PROT_EXEC.*home|home_exec"" /etc/audit/rules.d 2>/dev/null | grep -q . || test -f /etc/vdi-hardening/evidence/edr-mmap-home; [ $? -eq 0 ] && echo PASS || echo FAIL'' returned : 

FAIL",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,4dceaaa3-19d7-56d2-b19b-aba6cd098765,,2026-05-26T22:32:29.788Z,FAILED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"703, Audit su attempts",,Adicionar regra auditd para /bin/su ou /usr/bin/su.,Tentativas de su devem ser auditadas.,,PASSED,21157,"The command 'sh -c 'grep -RE ""(/bin/su|/usr/bin/su|su_exec)"" /etc/audit/rules.d 2>/dev/null | grep -q . && echo PASS || echo FAIL'' returned : 

PASS",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,5059d78b-ad01-5be5-9fa2-46226446e280,,2026-05-26T22:32:29.788Z,PASSED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"1002, auditd ativo e persistente",,Instalar e habilitar auditd.,Auditd deve iniciar no boot.,,PASSED,21157,"The command 'sh -c 'systemctl is-active auditd >/dev/null 2>&1 && systemctl is-enabled auditd >/dev/null 2>&1 && echo PASS || echo FAIL'' returned : 

PASS",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,553b8201-9c52-5012-a206-44e0ae24df48,,2026-05-26T22:32:29.788Z,PASSED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"504, Sticky bit em dirs publicos",,Aplicar chmod 1777 em /tmp e /var/tmp; corrigir demais diretorios world-writable.,Diretorios publicos world-writable devem ter sticky bit.,,PASSED,21157,"The command 'sh -c 'find /tmp /var/tmp -maxdepth 0 -type d ! -perm -1000 -print -quit 2>/dev/null | grep -q . && echo FAIL || echo PASS'' returned : 

PASS",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,5ba73aec-29b8-5ae9-99e0-a62b542641e3,,2026-05-26T22:32:29.788Z,PASSED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"701, Cron desabilitado para usuarios comuns",,Criar /etc/cron.allow somente com root e remover cron.deny permissivo.,Cron deve ser restrito a root/contas aprovadas.,,FAILED,21157,"The command 'sh -c 'test -f /etc/cron.allow && grep -qx root /etc/cron.allow && [ ""$(grep -Ev ""^(root|#|$)"" /etc/cron.allow | wc -l)"" -eq 0 ] && echo PASS || echo FAIL'' returned : 

FAIL",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,5bc7653b-248a-5045-b737-6f6f20ef1391,,2026-05-26T22:32:29.788Z,FAILED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"609, TCP syncookies ativo",,Configurar net.ipv4.tcp_syncookies=1.,Syncookies protegem contra SYN flood.,,PASSED,21157,"The command 'sysctl -n net.ipv4.tcp_syncookies' returned : 

1",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,5c4e2dac-1a61-5210-981f-a01c651714d5,,2026-05-26T22:32:29.788Z,PASSED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"1006, AIDE configurado",,"Instalar aide, inicializar baseline e agendar verificacoes periodicas.",AIDE deve estar instalado e agendado.,,FAILED,21157,"The command 'sh -c 'dpkg -s aide >/dev/null 2>&1 && (systemctl list-timers 2>/dev/null | grep -qi aide || grep -REqi ""aide"" /etc/cron.* /etc/systemd/system 2>/dev/null) && echo PASS || echo FAIL'' returned : 

FAIL",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,5f117369-cca4-5aac-921b-76f532575414,,2026-05-26T22:32:29.788Z,FAILED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"201, ~/.ssh permissoes 700/600",,Executar vdi-fix-user-home-perms e corrigir ~/.ssh para dir 700 e arquivos 600.,Chaves SSH de usuarios nao devem ser lidas por outros usuarios.,,PASSED,21157,"The command 'sh -c 'find /home -mindepth 2 -maxdepth 2 -type d -name .ssh ! -perm 0700 -print -quit 2>/dev/null | grep -q . && echo FAIL && exit 0; find /home -path ""*/.ssh/*"" -type f ! -perm 0600 -print -quit 2>/dev/null | grep -q . && echo FAIL || echo PASS'' returned : 

PASS",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,63a346d6-58d4-5cf8-8777-c35f28bb111a,,2026-05-26T22:32:29.788Z,PASSED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"1306, Session lock ate reauth",,Aplicar policy Citrix/desktop lock que exija reauth e registrar evidencia local.,Sessao bloqueada deve exigir reautenticacao.,,FAILED,21157,"The command 'sh -c 'grep -REiq ""lock-enabled|disable-lock-screen[[:space:]]*=[[:space:]]*false"" /etc/dconf/db /etc/dconf/profile 2>/dev/null || test -f /etc/vdi-hardening/evidence/session-lock-reauth; [ $? -eq 0 ] && echo PASS || echo FAIL'' returned : 

FAIL",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,66e3ca00-099c-55eb-9cf1-321fa8a465e3,,2026-05-26T22:32:29.788Z,FAILED
ubuntu-desktop-2404-vdi-20260526,Ubuntu 24.04.2 LTS (Noble Numbat),,COMPLIANCE_AUDIT_UBUNTU2404_VDI_BASELINE_V1.0.0.audit,"704, sudo requer password",,Remover NOPASSWD de sudoers exceto excecoes formalmente aprovadas.,Sudo nao deve permitir NOPASSWD para usuarios comuns.,,FAILED,21157,"The command 'sh -c 'grep -REi ""^[^#].*NOPASSWD"" /etc/sudoers /etc/sudoers.d 2>/dev/null | grep -q . && echo FAIL || echo PASS'' returned : 

FAIL",Compliance checks for Unix systems,2026-05-26T17:25:02.869Z,69c947a2-8138-5f2b-aae6-d0a0b4d03d05,,2026-05-26T22:32:29.788Z,FAILED
